english_name,thai_name,brand,price,serving_size,calories,total_fats,saturated_fat,cholesterol,protein,total_carbohydrates,dietary_fibre,total_sugars,sodium,image,category,ingredients,allergens
Shrimp and Kale Fried Rice,ข้าวผัดคะน้ากุ้ง,EZYGO,49,220,440,18,6,140,12,57,2,4,890,,Rice,,
Shrimp Omelette with Rice,ข้าวไข่เจียวกุ้ง,EZYGO,,240,470,19,4,250,15,58,,1,620,,Rice,,
Stir-Fried Basil Chicken + Fried Egg with Rice,ข้าวกะเพราไก่ ไข่ดาว,EZYGO,,270,460,12,2.5,205,22,65,,2,780,,Rice,,
Stir-Fried Basil Pork with Rice,ข้าวกะเพรา,EZYGO,,254,500,16,4,25,16,74,,4,710,,Rice,,
Chicken with Yellow Curry Rice,ข้าวหมกไก่,EZYGO,,280,540,14,5,55,19,85,,13,1620,,Rice,,
Red Curry Pork + Pork Omelette with Rice,ข้าวพะแนงหมู+ไข่เจียวหมูสับ,EZYGO,,255,460,14,7,125,16,67,,6,740,,Rice,,
Stir-Fried Soy Sauce Noodles with Pork,ผัดซีอิ๊วหมู,EZYGO,,250,500,18,7,75,9,76,,16,1390,,Noodle,,
Spicy Minced Pork & Grilled Pork with Rice,ข้าวลาบหมู-หมูย่าง,EZYGO,,230,390,11,4,25,15,58,,5,740,,Rice,,
Stir-Fried Basil Pork and Rice,ข้าวผัดกะเพราหมู,EZYGO,,280,530,13,3.5,25,18,85,,6,970,,Rice,,
Pork Fried Rice,ข้าวผัดหมู,EZYGO,,290,550,16,5,95,16,87,,7,940,,Rice,,
Stir-Fried Chicken and Basil with Rice,ข้าว กะเพราไก่คั่ว,EZYGO,,320,550,9,2,25,22,95,,4,1290,,Rice,,
Fried Chicken with Rice,ข้าวไก่ทอด,EZYGO,,300,650,16,6,55,26,99,,7,710,,Rice,,
Rice Vermicelli Noodles with Chicken Meatballs and Pulled Chickens,เส้นหมี่คลุกลูกชิ้นไก่และไก่ฉีก,EZYGO,,285,520,20,5,30,16,68,,13,1500,,Noodle,,
Wide Rice Noodle with Tender Pork in Gravy Sauce,เส้นใหญ่ราดหน้าหมูนุ่ม,EZYGO,,395,410,11,3.5,10,11,66,,11,1480,,Noodle,,
Egg Noodle with Pork Wonton and BBQ Pork,บะหมี่เกี๊ยวหมูแดง,EZYGO,,265,430,11,3.5,15,20,61,,13,1270,,Noodle,,
Creamy Tom Yum Kung,ต้มยำกุ้งน้ำข้น,EZYGO,,,,,,,,,,,,,,,
Egg Tofu and Minced Pork Soup,แกงจืดเต้าหู้หมูสับ,EZYGO,,,,,,,,,,,,,,,
Charcoal Grilled Chicken with Rice,ข้าวไก่ย่างถ่าน,EZYGO,,205,320,4.5,1.5,55,15,54,,9,630,,Rice,,
Fried Rice with Korean Style Chicken,ข้าวผัดไก่เกาหลี,EZYGO,,250,460,17,4,120,19,57,,8,890,,Rice,,
Stir-Fried Spicy Chicken with Spaghetti,สปาเก็ตตี้ผัดขี้เมาไก่,EZYGO,,250,350,8,1.5,15,18,52,,8,1020,,Noodle,,
Spaghetti with Chicken in Tomato Sauce and Sausage,สปาเก็ตตี้ซอสมะเขือเทศไก่และไส้กรอก,EZYGO,,235,290,9,4.5,40,15,39,,11,840,,Noodle,,
Fried Macaroni with Chicken,ผัดมักกะโรนีไก่,EZYGO,,225,410,16,4.5,65,14,52,,5,880,,Noodle,,
Thai shrimp paste chili dip/sauce,น้ำพริกกะปิ,Nam Phrik Pa Waen Agricultural Housewives Community Enterprise,,,,,,,,,,,,,Condiments,,
Spicy mackerel chili paste,น้ำพริกปลาทู,Nam Phrik Pa Waen Agricultural Housewives Community Enterprise,,,,,,,,,,,,,Condiments,,
Pandan Custard with Young Coconut Sandwich,แซนวิชสังขยามะพร้าวอ่อน,EZYGO,29,83,240,12,6,0,5,28,,11,190,,Sandwich and Toasts,,
Brookie Sandwich,แซนวิชบรูคกี้,EZYGO,35,93,420,20,12,55,6,55,,34,280,,Sandwich and Toasts,,
Sausage and Egg Toast,โทสต์ไข่ดาวไส้กรอก,EZYGO,35,108,300,17,8,230,11,26,,5,500,,Sandwich and Toasts,,
Roasted Chicken Burrito with Spicy Mayo,เบอริโต้ไก่อบสไปซี่มาโย,EZYGO,35,96,260,12,5,25,9,27,,2,540,,Wraps,,
Wrap'n Roll Fried Chicken with Honey Pepper Sauce,แร็พเอ็นโรล ไก่ทอดซอสฮันนี่เปปเปอร์,"Alfredo Enterprise Co., Ltd.",35,78,230,12,2.5,25,8,23,,4,440,,Wraps,,
Wrap'n Roll Fried Chicken Hot Korean Style Sauce,แร็พเอ็นโรลไก่ทอดฮอตซอสโคเรียนสไตล์,"Alfredo Enterprise Co., Ltd.",35,78,230,11,2,20,9,24,,5,450,,Wraps,,
Garlic Bread with Cheese,ขนมปังกระเทียมและชีส,"Alfredo Enterprise Co., Ltd.",,70,270,16,8,25,8,23,,2,180,,Bakery,,
Puff Extra Cheese and Smoke Chicken Sliced,พัฟไส้เอ็กซ์ตร้าชีสและไก่สไลซ์รมควัน,"Alfredo Enterprise Co., Ltd.",32,85,270,13,4,15,10,26,,5,520,,Sandwich and Toasts,,
Steamed Tapioca Balls with Pork Filling,สาคูไส้หมู,EZYGO,,86,,,,,,,,,,,Sides,,
Wrap'n Roll Fried Chicken,แร็พเอ็นโรลไก่ทอด,"Alfredo Enterprise Co., Ltd.",35,80,260,13,3.5,40,7,27,,5,450,,Wraps,,
Ham and Cheese Croissant,ครัวซองค์แฮมชีส,EZYGO,29,77,310,21,9,20,6,24,,5,440,,Sandwich and Toasts,,
Ham and Cheese Parmesan Bread,ขนมปัง พาร์มีซานแฮมชีส,EZYGO,35,73,220,10,6,15,8,25,,3,300,,Sandwich and Toasts,,
Ham Cheese Double Croissant,ดับเบิลครัวซองค์ แฮมชีส,EZYGO,35,74,260,16,9,15,10,20,,2,520,,Sandwich and Toasts,,
"Ham, Sausage, Egg and Cheese Triple Croissant",ทริปเปิ้ลครัวซองค์แฮมไส้กรอกไข่และชีส,EZYGO,,110,430,29,15,40,12,30,,3,570,,Sandwich and Toasts,,
Roti with Butter Condensed Milk and Sugar,โรตีไส้เนยนมน้ำตาล,EZYGO,29,75,280,9,7,5,4,44,,10,220,,Sandwich and Toasts,,
Fried Ham Sandwich with Tonkatsu Sauce and Egg Salad, (แอนวิชแฮมทอดซอสทงคัตสึและสลัดไข่ ตรา อีทโตะ,EZYGO,35,80,230,10,3,5,7,29,,7,490,,Sandwich and Toasts,,
Ham and cheese sandwich,แซนด์วิชไส้แฮมชีส,Oishi Eato,29,77,200,8,2.5,10,7,26,,5,580,,Sandwich and Toasts,,
Tuna Salad Sandwich,แซนวิชไส้ทูน่าสลัด,Oishi Eato,27,77,200,7,2.5,10,8,27,,4,380,,Sandwich and Toasts,,
Alaska Crab Stick & Japanese Style Seaweed Salad,,Oishi Eato,27,73,200,8,2,5,5,27,,5,460,,Sandwich and Toasts,,
Ham Cheese Sandwich,แซนด์วิชแฮมชีส,EZYGO,29,75,210,11,4,5,6,21,,4,380,,Sandwich and Toasts,,
